流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
03056,FL1008,10283320,26,英文(附一小時英聽)二,3.00,陶漢威,,2,三234,,30,0,0,28,28,0,2
03057,FL1008,10283320,27,英文(附一小時英聽)二,3.00,陳逸軒,,2,三234,,30,0,0,31,31,0,0
03035,FL1008,10283320,28,英文(附一小時英聽)二,3.00,俞燕妮,,2,四89,10,,30,0,0,26,26,0,4
03036,FL1008,10283320,29,英文(附一小時英聽)二,3.00,陳逸軒,,2,四89,10,,32,0,0,27,27,0,5
03037,FL1008,10283320,30,英文(附一小時英聽)二,3.00,簡瑞碧,,2,四89,10,,40,0,0,46,46,0,0
03038,FL1008,10283320,31,英文(附一小時英聽)二,3.00,高維泓,,3,四89,10,,36,0,2,28,28,0,6
03039,FL1008,10283320,32,英文(附一小時英聽)二,3.00,許文僊,,2,四89,10,,36,0,0,19,19,0,17
03015,FL1008,10283320,33,英文(附一小時英聽)二,3.00,沈曉茵,,2,一345,,32,0,0,18,18,0,14
03010,FL1008,10283320,34,英文(附一小時英聽)二,3.00,黃子岳,,2,二234,,30,0,0,23,23,0,7
03022,FL1008,10283320,35,英文(附一小時英聽)二,3.00,黃允蔚,,2,二567,,33,0,0,39,39,0,0
03058,FL1008,10283320,36,英文(附一小時英聽)二,3.00,黃子岳,,2,三234,,30,0,0,27,27,0,3
03059,FL1008,10283320,37,英文(附一小時英聽)二,3.00,陳瑋婕,,2,三234,,30,0,0,25,25,0,5
03040,FL1008,10283320,38,英文(附一小時英聽)二,3.00,陳瑋婕,,2,四89,10,,30,0,0,21,21,0,9
03050,FL1008,10283320,39,英文(附一小時英聽)二,3.00,周昱翔,,2,二89,10,,32,0,0,23,23,0,9
03016,FL1010,10283420,01,英文(附二小時英聽)二,3.00,楊乃冬,,2,一345,,32,0,0,27,27,0,5
03017,FL1010,10283420,02,英文(附二小時英聽)二,3.00,張嘉倩,,2,一345,,36,0,0,31,31,0,5
03051,FL1010,10283420,03,英文(附二小時英聽)二,3.00,高照明,,2,二89,10,,35,0,0,29,29,0,6
03060,FL1010,10283420,05,英文(附二小時英聽)二,3.00,楊乃冬,,2,三234,,32,0,0,26,26,0,6
03041,FL1010,10283420,06,英文(附二小時英聽)二,3.00,胥嘉陵,,2,四89,10,,32,0,0,33,33,0,0
02001,JpnL1002,10780012,01,日文下,3.00,孫愛維,,2,二234,CG1,36,0,0,29,29,0,7
02002,JpnL1002,10780012,02,日文下,3.00,江佩璇,,2,一345,CG2,36,0,0,36,36,1,0
02003,JpnL1002,10780012,03,日文下,3.00,洪瑟君,,2,二567,CG3,36,0,0,31,31,1,5
02007,JpnL1002,10780012,04,日文下,3.00,黃意婷,,2,三234,CG7+CGB,36,0,0,35,35,0,1
02004,JpnL1002,10780012,05,日文下,3.00,陳昭心,,2,四89,10,CG5+CG9+CGA,36,0,0,36,36,2,0
02005,JpnL1002,10780012,06,日文下,3.00,黃佳鈴,,2,四89,10,CG5+CG9+CGA,36,0,0,35,35,2,1
02006,JpnL1002,10780012,07,日文下,3.00,吳勤文,,2,二89,10,CG6,36,0,0,34,34,0,2
02008,JpnL1002,10780012,08,日文下,3.00,許惠晴,,2,三234,CG7+CGB,36,0,0,37,37,0,0
49936,CHIN1100,10111240,,人文科技的交響：新趨勢與新素養（二）,3.00,鄭毓瑜,1,2,四789,,100,0,0,95,95,34,5
81790,CHIN1050,10128320,01,音樂作品欣賞二,2.00,蔡世豪,1,3,四34,,180,0,6,167,162,225,7
