流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
31535,FL1016,10214120,02,西洋文學概論二,3.00,李佑金,,2,四234,CD1,65,0,0,0,0,76,65
31480,FL1016,10214120,03,西洋文學概論二,3.00,凱羅榮,,2,四234,CD1,55,0,0,0,0,60,55
24262,FL1014,10214202,01,文學作品讀法下,3.00,高瑟濡,,2,一234,CD1*B31,50,0,0,49,0,4,1
52519,FL1014,10214202,02,文學作品讀法下,3.00,于昌民,,2,一234,CD1*B32,50,0,0,51,0,2,0
62945,FL1014,10214202,03,文學作品讀法下,3.00,王沐嵐,,2,一234,CD1*B30,50,0,0,46,0,1,4
20820,FL2008,10221112,01,語言學概論下,3.00,林祐瑜,,2,三234,CD1,72,0,0,74,0,0,0
36551,FL2008,10221112,02,語言學概論下,3.00,石書豪,,2,三234,CD1,72,0,0,69,0,0,3
49610,FL2014,10222112,05,法文一下,3.00,林湘漪,,2,三34五34,AY1,40,20,0,21,0,0,19
70902,FL2014,10222112,09,法文一下,3.00,葉麗儀,,2,三12五12,AY1,35,18,0,28,0,0,7
14162,FL2016,10222212,04,德文一下,3.00,林倩君,,3,三34五34,AY1,40,18,8,15,0,0,17
74015,FL2016,10222212,05,德文一下,3.00,李秀蓮,,2,三34五34,,35,18,0,24,0,0,11
32787,FL2018,10222312,07,西班牙文一下,3.00,柯孟德,,2,三34五34,,55,26,0,27,0,0,28
69928,FL2018,10222312,08,西班牙文一下,3.00,馬德睿,,2,三12五12,AY1,40,20,0,70,0,0,0
80120,FL2020,10222412,,俄文一下,3.00,李麗薩,,2,一,10A四,10A,,40,21,4,28,0,6,8
46664,FL2022,10222612,,拉丁文一下,3.00,李佑金,,2,一89三89,,50,0,16,28,0,2,6
42638,FL2126,10222712,,阿拉伯文一下,3.00,初雅士,,2,二89五67,,40,20,4,12,0,1,24
